시설종류,실내/실외,종목,주소,이름
관광,실내,종교,광주광역시 동구 증심사길 177,증심사
관광,실내,종교,광주광역시 서구 운천로 230,무각사
관광,실내,종교,광주광역시 동구 중앙로 197,원각사
관광,실내,종교,광주광역시 남구 백서로 13,광주 구 수피아여학교 수피아홀
관광,실내,종교,광주광역시 남구 백서로 13,광주 구 수피아여학교 윈스브로우홀
관광,실내,종교,광주광역시 북구 무등로 1514-35,원효사
관광,실외,문화,광주광역시 광산구 본량본촌길 29,만취정
관광,실외,문화,광주광역시 광산구 산월로21번길 26,무양서원
관광,실외,문화,광주광역시 서구 금호운천길 31,병천사
관광,실외,문화,광주광역시 남구 칠석동 129,부용정
관광,실외,문화,광주 남구 이장동 166-1,양과동정
관광,실외,문화,광주광역시 광산구 왕동 산3,용진정사
관광,실외,문화,광주광역시 남구 지산재길 51,지산재
관광,실외,문화,광주광역시 북구 충효동 397-3,취가정
관광,실외,문화,광주광역시 남구 포충로 767,포충사
관광,실외,문화,광주 북구 금곡동 718,풍암정
관광,실외,문화,광주광역시 광산구 풍영정길 21,풍영정
관광,실외,문화,광주광역시 광산구 동곡분토길 195,호가정
관광,실외,문화,광주광역시 광산구 광곡길 133,월봉서원(빙월당)
관광,실외,문화,광주광역시 북구 무등로 1050,충민사
관광,실외,문화,광주광역시 남구 중앙로107번길 5,광주향교
관광,실외,문화,광주광역시 서구 동하길 10,만귀정
관광,실외,문화,광주광역시 북구 송강로 13,충장사
관광,실외,문화,광주광역시 서구 화운로156번길 17-8,화담사
관광,실외,건축,광주 남구 서오층석탑2길 17,광주 성거사지 오층석탑
관광,실외,건축,광주 동구 지산로 57,광주 지산동 오층석탑
관광,실외,문화,광주 동구 용연길,무등산 주상절리대
관광,실외,문화,광주 북구 가사문학로 954-38,충효동 왕버들군
관광,실내,축제,광주 남구 김치로 60,광주 세계 김치 축제
관광,실내,축제,광주 서구 상무시민로 3,광주국악상설공연
관광,실외,축제,광주 동구 문화전당로 38,"밤이 내리면, 빛이 오르고"
관광,실내,축제,광주 서구 상무누리로 30 김대중 컨벤션 센터,아트광주21
관광,실내,축제,광주 남구 양림동,양림골목비엔날레
관광,실외,축제,	광주 동구 금남로 245,광주프린지페스티벌
관광,실외,축제,광주 북구 하서로 52,"아트피크닉"
관광,실내,축제,광주 북구 비엔날레로 111,광주디자인비엔날레
관광,실외,축제,광주 서구 서창둑길 377,영산강 서창들녘 억새축제
관광,실내,체험,광주 남구 천변좌로 338번길 7,광주 미디어아트 플랫폼
관광,실내,체험,광주 남구 양과동 1237-5,빛고을농촌테마공원
관광,실내,체험,광주광역시 광산구 평동로 639-22,자라나는새싹농부체험교실
관광,실내,체험,광주 광산구 서봉동 37,IT스퀘어
관광,실내,체험,광주 북구 첨단과기로176번길 27,광주 디자인 체험관
관광,실내,체험,광주 남구 압촌길 78,광주 콩종합센터
관광,실내,체험,광주 북구 첨단과기로 235,국립광주과학관
관광,실내,체험,광주 북구 설죽로 477,남도향토음식박물관
관광,실내,체험,광주 동구 동명로 24,다과만들기 다담
관광,실내,체험,광주 서구 회재로 905,시청자미디어센터
관광,실내,체험,광주 남구 승촌보길 90,영산강 문화관
관광,실외,캠핑장,광주 북구 월출동 968,광주 시민의 숲 야영장
관광,실외,캠핑장,광주 남구 승촌동 598,승촌보 캠핑장
관광,실외,유원지,광주광역시 동구 지호로164번길 35-1,지산유원지
관광,실외,유원지,광주 광산구 송산동 175-1,송산유원지
관광,실외,유원지,광주 북구 우치로 677,우치공원
관광,실내,맛집,광주 광산구 신창로166번길 24,금수저은수저
관광,실내,맛집,광주 동구 지호로 137- 7,남가정
관광,실내,맛집,광주 북구 대촌길6번길 20-6,넓으실	
관광,실내,맛집,광주 서구 풍암순환로128번길 73,다미정
관광,실내,맛집,광주 서구 유덕로28번길 18,백년미가
관광,실내,맛집,광주 동구 무등로321번길 2,아리랑하우스
관광,실내,맛집,광주 서구 풍암순환로128번길 75,영빈관
관광,실내,맛집,광주 서구 서광주로 187,예지원
관광,실내,맛집,광주 서구 상무평화로 131,예향계절한정식
관광,실내,맛집,광주 남구 효덕로 103,조선옥	
관광,실내,맛집,광주 북구 일곡택지로53번길 55,현주네이야기	
관광,실내,맛집,광주 서구 치평로 86,"다르다김밥,주먹밥"
관광,실내,맛집,광주 동구 동계천로 143,맘스쿡
관광,실내,맛집,광주 서구 군분로159번길 13,테스팅노트
관광,실내,맛집,광주 북구 양산로 34,양산대박 상추튀김
관광,실내,맛집,광주 동구 황금동 74,은성
관광,실내,맛집,광주 서구 상무평화로 89,현완단겸 상추튀김
관광,실내,맛집,광주 서구 상무대로 695번길 15,대광식당
관광,실내,맛집,광주 서구 상무자유로 174,육전명가
관광,실내,맛집,광주 서구 상무민주로123번길 13-7,김가원
관광,실내,맛집,광주 서구 회재유통길 19-24,매월흑염소가든
관광,실내,맛집,광주 광산구 평동로 421,명화식육식당
관광,실내,맛집,광주 북구 일곡마을로 152,미진
관광,실내,맛집,광주 서구 상무평화로 137,민들레
관광,실내,맛집,광주 광산구 송정로8번길 41,서울장수국수
관광,실내,맛집,광주 동구 문화전당로35번길 28-5,송하회관
관광,실내,맛집,광주 북구 무등로 144,옥천면옥
관광,실내,맛집,광주 남구 봉선로 21,해남성내식당
관광,실내,맛집,광주 동구 백서로125번길 29,해남식당
관광,실내,맛집,광주 북구 무등로180번길 9-18,홍춘이	
관광,실내,맛집,광주 북구동운로 231,효정
관광,실내,맛집,광주 광산구 왕버들로252번길 33,100족발본점
관광,실내,맛집,광주 북구 우치로 61,강의리추어탕
관광,실내,맛집,광주 서구 마륵복개로 152-3,강촌
관광,실내,맛집,광주 동구 의재로96번길 18,관가
관광,실내,맛집,광주 광산구 임방울대로 503,광후장어
관광,실내,맛집,광주 북구 서강로74번길 32,국현옥궁중팥죽
관광,실내,맛집,광주 동구 금남로 193-7,꽃담
관광,실내,맛집,광주 남구 화산로 105,뜨락쌈밥
관광,실내,맛집,광주 북구 대천로139번길 8-1,석암돌솥밥
관광,실내,맛집,광주 북구 북문대로 173,약수한방삼계탕
관광,실내,맛집,광주 북구 밤실로 178,오얏리돌솥밥
관광,실내,맛집,광주 서구 운천로31번길 15,유진정
관광,실내,맛집,광주 광산구 삼도가산안길 42,하림가
관광,실내,맛집,광주 북구 민주로 164,한백년식당
관광,실내,맛집,광주 서구 상무민주로6번길 36,낙지마을
관광,실내,맛집,광주 서구 월드컵4강로 236,마천루
관광,실내,맛집,광주 동구 문화전당로 37-2,마한지
관광,실내,맛집,광주 광산구 송정로15번길 71,서울곱창
관광,실내,맛집,광주 서구 금화로 240,여간 좋은날
관광,실내,맛집,광주 서구 내방로 39-1,옥과한우촌
관광,실내,맛집,광주 북구 북문대로33번길 3,우미일식
관광,실내,맛집,광주 서구 풍암운리로41번길 4-6,이씨네푸줏간
관광,실내,맛집,광주 광산구 동곡로35번길 6,이태백
관광,실내,맛집,광주 북구 하서로672번길 45,절기밥상
관광,실내,맛집,광주 동구 제봉로 194,칠우불고기
관광,실내,맛집,광주 남구 효덕로 150,한우사랑
관광,실내,맛집,광주 서구 상무대로 653-1,해동활어
관광,실내,맛집,광주 북구 일곡마을로 165,행랑채
관광,실내,맛집,광주 서구 운천로17번길 4-9,긴자상회
관광,실내,맛집,광주 서구 상무대로 1032,더셰프
관광,실내,맛집,광주 동구 동명로20번길 17-6,알랭
관광,실내,맛집,광주 광산구 임방울대로 353,어나더키친
관광,실내,맛집,광주 서구 치평로 112,오카츠
관광,실내,맛집,광주 북구 용봉로 66,케이투
관광,실내,맛집,광주 남구 백서로 97-1,파인트리
관광,실내,맛집,광주 동구 충장로안길 5-4,퍼스트앨리웨이
