연번,구분,시설명,주소,설치시설물,등록,데이터기준일자
110,동네체육시설,신가 어린이 6호공원 동네체육시설,광주광역시 광산구 신가동 981-1번지,동네체육시설,2015-02-25,2021-06-16
111,동네체육시설,신가어린이5공원 동네체육시설,광주광역시 광산구 신창동 1108-2(도시공사103동앞),동네체육시설,2015-12-11,2021-06-16
112,동네체육시설,신가 어린이 3호공원 동네체육시설,광주광역시 광산구 신가동 1004-6번지,동네체육시설,2015-02-25,2021-06-16
113,동네체육시설,신가 어린이 1호공원 동네체육시설,광주광역시 광산구 신가동 961-2번지,동네체육시설,2015-02-25,2021-06-16
114,동네체육시설,신가 어린이 2호공원 동네체육시설,광주광역시 광산구 신가동 963-5번지,동네체육시설,2015-02-25,2021-06-16
115,동네체육시설,신가 제1근린공원 동네체육시설,광주광역시 광산구 신가동870번지,동네체육시설,2015-02-25,2021-06-16
116,동네체육시설,수완동 아름공원 동네체육시설,광주광역시 광산구 신가동 1066번지,동네체육시설,2015-07-21,2021-06-16
117,동네체육시설,수완동 은빛어린이공원 동네체육시설,광주광역시 광산구 수완동 1492번지,동네체육시설,2015-07-21,2021-06-16
118,동네체육시설,수완은빛공원 동네체육시설,광주광역시 광산구 수완동 1493,동네체육시설,2015-12-09,2021-06-16
119,동네체육시설,수완동 솟대어린이공원 동네체육시설,광주광역시 광산구 수완동 1299번지,동네체육시설,2015-07-21,2021-06-16
120,동네체육시설,수문1공원 동네체육시설,광주광역시 광산구 수완동 1154,동네체육시설,2015-12-09,2021-06-16
121,동네체육시설,수완동 상완마을 동네체육시설,광주광역시 광산구 수완동 309,동네체육시설,2017-08-30,2021-06-16
122,동네체육시설,장덕솔무공원 동네체육시설,광주광역시 광산구 장덕동 1112,동네체육시설,2015-12-09,2021-06-16
123,동네체육시설,성덕근린공원 동네체육시설,광주광역시 광산구 장덕동 1127,동네체육시설,2015-12-11,2021-06-16
124,동네체육시설,우산동 풍영정천 동네체육시설1,광주광역시 광산구 우산동 574,동네체육시설,2010-01-01,2021-06-16
125,동네체육시설,월곡공원 동네체육시설,광주광역시 광산구 월곡동 587,동네체육시설,1994-02-12,2021-06-16
126,동네체육시설,월곡1동 동네체육시설,광주광역시 광산구 월곡동 589 (월곡중학교 내),동네체육시설,1996-06-25,2021-06-16
127,동네체육시설,우산동 우산6공원 동네체육시설,광주광역시 광산구 우산동 1572-4,동네체육시설,2014-08-18,2021-06-16
128,동네체육시설,산정레포츠공원 동네체육시설,광주광역시 광산구 월곡동 539,동네체육시설,1994-04-26,2021-06-16
129,동네체육시설,경암근린공원 동네체육시설,광주광역시 광산구 하남동 663(경암근린공원),동네체육시설,2015-12-09,2021-06-16
130,동네체육시설,하남동 어린이공원 동네체육시설,광주광역시 광산구 하남동 657,동네체육시설,2018-01-29,2021-06-16
131,동네체육시설,동자봉(산정동) 동네체육시설,광주광역시 광산구 산정동385번지일원,동네체육시설,2017-07-15,2021-06-16
132,동네체육시설,우산동 IC 동네체육시설,광주광역시 광산구 우산동 1611-4,동네체육시설,2011-06-01,2021-06-16
133,동네체육시설,우산동 동네체육시설,광주광역시 광산구 우산동 1606-19,동네체육시설,2016-01-18,2021-06-16
134,동네체육시설,우산동 에코힐링워킹로 동네체육시설,광주광역시 광산구 우산동 1601-9,동네체육시설,2017-07-14,2021-06-16
135,동네체육시설,우산동 시영1차 동네체육시설,광주광역시 광산구 우산동1602-1(시영1차@ 옆),동네체육시설,1997-10-07,2021-06-16
136,동네체육시설,우산동 말미산 동네체육시설,광주광역시 광산구 우산동 산116 (말미산),동네체육시설,1997-10-07,2021-06-16
137,동네체육시설,소촌 모아2차 동네체육시설,광주광역시 광산구 소촌동 290-46,동네체육시설,2016-03-08,2021-06-16
138,동네체육시설,소촌동 동네체육시설,광주광역시 광산구 소촌동 46 (금호훼미리@뒤),동네체육시설,1998-09-10,2021-06-16
