연번,구분,시설명,주소,설치시설물,등록,데이터기준일자
273,동네체육시설,월계동 라인7차 옆 동네체육시설,"광주광역시 광산구 월계동 761-7(라인7차, 우미2차 사이)",동네체육시설,2020-01-20,2021-06-16
274,동네체육시설,하남주공1차 동네체육시설,광주광역시 광산구 월곡산정로 12(하남주공 1차),동네체육시설,2019-12-24,2021-06-16
275,동네체육시설,하남주공1차 동네체육시설,광주광역시 광산구 월곡산정로 12(하남주공 1차),동네체육시설,2020-01-20,2021-06-16
276,동네체육시설,신창동 부영3차 옆 동네체육시설,"광주광역시 광산구 신창로 161번길 34(부영3차, 호반 5차 사잇길)",동네체육시설,2019-12-24,2021-06-16
277,동네체육시설,신창동 부영3차 옆 동네체육시설,"광주광역시 광산구 신창로 161번길 34(부영3차, 호반 5차 사잇길)",동네체육시설,2020-01-20,2021-06-16
278,동네체육시설,수완동 모아엘가 옆 동네체육시설,"광주광역시 광산구 수완동 1487(모아엘가, 우미린 1차 사잇길)",동네체육시설,2019-12-24,2021-06-16
279,동네체육시설,수완동 모아엘가 옆 동네체육시설,"광주광역시 광산구 수완동 1487(모아엘가, 우미린 1차 사잇길)",동네체육시설,2020-01-20,2021-06-16
280,동네체육시설,송정동 금강3차 동네체육시설,광주광역시 광산구 송정동 238(금강3차아파트),동네체육시설,2020-01-20,2021-06-16
281,동네체육시설,서호경로당 동네체육시설,광주광역시 광산구 본덕동 266-1(서호경로당),동네체육시설,2020-01-20,2021-06-16
282,동네체육시설,송정동 소규모쉼터 동네체육시설,광주광역시 광산구 송정동 242-7,동네체육시설,2020-02-03,2021-06-16
283,동네체육시설,용동마을회관 동네체육시설,광주광역시 광산구 옥동 450-1,동네체육시설,2018-12-17,2021-06-16
284,동네체육시설,송산동 387동네체육시설,광주광역시 광산구 송산동 387,동네체육시설,2018-01-29,2021-06-16
285,동네체육시설,삼도 내동마을 동네체육시설,광주광역시 광산구 송산동 874-1,동네체육시설,2017-07-14,2021-06-16
286,동네체육시설,하림마을 동네체육시설,광주광역시 광산구 임곡동 429,동네체육시설,2018-01-29,2021-06-16
287,동네체육시설,송정IC(신흥동) 동네체육시설2,광주광역시 광산구 신촌동 691-1,동네체육시설,2006-01-20,2021-06-16
288,동네체육시설,신창지구 제1공원 동네체육시설,광주광역시 광산구 신창동 855-22,동네체육시설,2015-02-25,2021-06-16
289,동네체육시설,비아초교 동네체육시설,광주광역시 광산구 비아동 68-1,동네체육시설,2014-08-18,2021-06-16
290,종목별체육시설,서봉지구 파크골프장,광주광역시 광산구 서봉동 124,골프장,2019-01-01,2021-06-16
