ID,대분류,실내/실외,소분류,주소,이름,평점,투표횟수,태깅
20,예술,실내,미술관,광주 남구 양촌길 27-6,한희원미술관,4.3,53,예술 미술관 한희원미술관
21,예술,실내,박물관,광주 북구 풍암제길 14,분청사기전시실,3.8,21,예술 박물관 분청사기전시실
22,예술,실내,박물관,광주 남구 제중로 64,오방 최흥종 기념관,0,0,예술 박물관 오방 최흥종 기념관
23,예술,실내,박물관,광주 북구 서하로 48-25,광주광역시역사민속박물관,4.3,298,예술 박물관 광주광역시역사민속박물관
24,예술,실내,박물관,광주 북구 풍향동 1-1,광주교육대학교 교육박물관,0,0,예술 박물관 광주교육대학교 교육박물관
25,예술,실내,박물관,광주 북구 하서로 110,국립광주박물관,4.3,955,예술 박물관 국립광주박물관
26,예술,실내,박물관,광주 동구 천변우로 599,백범기념관,5,3,예술 박물관 백범기념관
27,예술,실내,박물관,광주 동구 제봉로 143-1,비움박물관,4.6,8,예술 박물관 비움박물관
28,예술,실내,박물관,광주 북구 용봉동 300,전남대학교 박물관,0,0,예술 박물관 전남대학교 박물관
29,예술,실내,박물관,광주 북구 용봉로 116,한국미용박물관,4,17,예술 박물관 한국미용박물관
30,예술,실내,공연장,광주광역시 남구 천변좌로338번길 7,미디어놀이터,4.3,213,예술 공연장 미디어놀이터
31,예술,실내,공연장,광주광역시 남구 천변좌로338번길 7,홀로그램 극장,4.3,213,예술 공연장 홀로그램 극장
32,예술,실내,공연장,광주 동구 문화전당로 38,국립아시아문화전당,4.6,279,예술 공연장 국립아시아문화전당
33,예술,실내,공연장,광주 서구 무진대로 904,유ㆍ스퀘어문화관,4.3,2160,예술 공연장 유ㆍ스퀘어문화관
34,예술,실내,공연장,광주 남구 봉선로 208,광주남구문화예술회관,3.9,21,예술 공연장 광주남구문화예술회관
35,예술,실내,공연장,광주 북구 북문대로 60,광주문화예술회관,4.3,1040,예술 공연장 광주문화예술회관
36,예술,실내,공연장,광주 동구 예술길 18-1,궁동예술극장,3.8,28,예술 공연장 궁동예술극장
37,예술,실내,공연장,광주 서구 상무누리로 30,김대중컨벤션센터,4.1,2147,예술 공연장 김대중컨벤션센터
38,예술,실내,공연장,광주 동구 중흥로209번길 8,문예정터 극단 진달래피네,0,0,예술 공연장 문예정터 극단 진달래피네
39,예술,실내,공연장,광주 서구 풍금로 182,빛고을국악전수관,4.1,32,예술 공연장 빛고을국악전수관
40,예술,실내,공연장,광주 남구 구동 12,빛고을시민문화관,4.3,213,예술 공연장 빛고을시민문화관
41,예술,실내,공연장,광주 서구 마재로 3,서구문화센터,4.1,423,예술 공연장 서구문화센터
42,예술,실내,전통문화,광주광역시 동구 의재로 222,광주전통문화관,4.1,81,예술 전통문화 광주전통문화관
43,예술,실내,전통문화,광주 광산구 광곡길 133,월봉서원 체험,4.5,117,예술 전통문화 월봉서원 체험
44,예술,실내,전통문화,광주 북구 담안평무길 77,평촌도예공방,4.5,25,예술 전통문화 평촌도예공방
45,예술,실내,전통문화,광주 남구 고싸움로 2,고싸움놀이 테마파크,3.5,18,예술 전통문화 고싸움놀이 테마파크
46,예술,실내,전통문화,광주 남구 압촌4길 11,광주도예문화센터,4.2,35,예술 전통문화 광주도예문화센터
47,예술,실내,전통문화,광주 남구 중앙로95번안길 7-8,광주향교 체험,4,34,예술 전통문화 광주향교 체험
48,예술,실내,전통문화,광주 남구 포충로 937,빛고을공예창작촌,4.2,16,예술 전통문화 빛고을공예창작촌
49,예술,실내,전통문화,광주 동구 증심사길 177,증심사 템플스테이,4.5,10,예술 전통문화 증심사 템플스테이
50,예술,실내,전통문화,광주 동구 동명동 200-196,청공소리 한옥체험장,0,0,예술 전통문화 청공소리 한옥체험장
51,역사,실내,5.18운동,광주 동구 중앙로 302,4·19혁명기념관,4.1,21,역사 5.18운동 4·19혁명기념관
52,역사,실내,5.18운동,광주광역시 동구 금남로 221,5·18민주화운동기록관,4.6,636,역사 5.18운동 5·18민주화운동기록관
53,역사,실내,5.18운동,광주 동구 금남로 245,전일빌딩245,4.7,240,역사 5.18운동 전일빌딩245
54,역사,실외,5.18운동,광주 서구 내방로 152,5·18기념공원,4.4,574,역사 5.18운동 5·18기념공원
55,역사,실외,5.18운동,광주 동구 문화전당로 38,5·18민주광장,4.6,488,역사 5.18운동 5·18민주광장
56,역사,실외,5.18운동,광주 서구 상무평화로 13,5·18자유공원,4.5,360,역사 5.18운동 5·18자유공원
57,역사,실내,5.18운동,광주 서구 화정동 512,광주학생독립운동기념관,4.6,143,역사 5.18운동 광주학생독립운동기념관
58,역사,실외,5.18운동,광주광역시 서구 학생독립로 30,광주학생독립운동기념탑,4.4,21,역사 5.18운동 광주학생독립운동기념탑
59,역사,실내,사찰/기독교,광주광역시 남구 백서로 13,광주 구 수피아여학교 커티스메모리얼홀,4.4,7,역사 사찰/기독교 광주 구 수피아여학교 커티스메모리얼홀
60,역사,실내,사찰/기독교,광주광역시 북구 금재로 76,광주 북동천주교회,4.2,12,역사 사찰/기독교 광주 북동천주교회
61,역사,실내,사찰/기독교,광주광역시 동구 증심사길160번길 89,약사암,5,1,역사 사찰/기독교 약사암
62,역사,실내,사찰/기독교,광주광역시 남구 백서로70번길 6,오웬기념각,4,30,역사 사찰/기독교 오웬기념각
63,역사,실내,사찰/기독교,광주광역시 남구 제중로47번길 20,우일선 선교사사택,4.4,166,역사 사찰/기독교 우일선 선교사사택
64,역사,실내,사찰/기독교,광주광역시 동구 증심사길 177,증심사,4.3,483,역사 사찰/기독교 증심사
65,역사,실내,사찰/기독교,광주광역시 서구 운천로 230,무각사,4.4,354,역사 사찰/기독교 무각사
66,역사,실내,사찰/기독교,광주광역시 동구 중앙로 197,원각사,4.6,18,역사 사찰/기독교 원각사
67,역사,실내,사찰/기독교,광주광역시 남구 백서로 13,광주 구 수피아여학교 수피아홀,0,0,역사 사찰/기독교 광주 구 수피아여학교 수피아홀
68,역사,실내,사찰/기독교,광주광역시 남구 백서로 13,광주 구 수피아여학교 윈스브로우홀,0,0,역사 사찰/기독교 광주 구 수피아여학교 윈스브로우홀
69,역사,실내,사찰/기독교,광주광역시 북구 무등로 1514-35,원효사,4.3,411,역사 사찰/기독교 원효사
70,역사,실외,선비문화,광주광역시 광산구 본량본촌길 29,만취정,4.4,5,역사 선비문화 만취정
71,역사,실외,선비문화,광주광역시 광산구 산월로21번길 26,무양서원,3.9,27,역사 선비문화 무양서원
72,역사,실외,선비문화,광주광역시 서구 금호운천길 31,병천사,3.9,29,역사 선비문화 병천사
73,역사,실외,선비문화,광주광역시 남구 칠석동 129,부용정,4.6,5,역사 선비문화 부용정
74,역사,실외,선비문화,광주 남구 이장동 166-1,양과동정,3.8,13,역사 선비문화 양과동정
75,역사,실외,선비문화,광주광역시 광산구 왕동 산3,용진정사,4.1,36,역사 선비문화 용진정사
76,역사,실외,선비문화,광주광역시 남구 지산재길 51,지산재,4.2,12,역사 선비문화 지산재
77,역사,실외,선비문화,광주광역시 북구 충효동 397-3,취가정,4,43,역사 선비문화 취가정
78,역사,실외,선비문화,광주광역시 남구 포충로 767,포충사,4.4,268,역사 선비문화 포충사
79,역사,실외,선비문화,광주 북구 금곡동 718,풍암정,4,4,역사 선비문화 풍암정
80,역사,실외,선비문화,광주광역시 광산구 풍영정길 21,풍영정,4,69,역사 선비문화 풍영정
81,역사,실외,선비문화,광주광역시 광산구 동곡분토길 195,호가정,4.1,82,역사 선비문화 호가정
82,역사,실외,선비문화,광주광역시 광산구 광곡길 133,월봉서원(빙월당),4.5,117,역사 선비문화 월봉서원(빙월당)
83,역사,실외,선비문화,광주광역시 북구 무등로 1050,충민사,4.6,14,역사 선비문화 충민사
84,역사,실외,선비문화,광주광역시 남구 중앙로107번길 5,광주향교,4,34,역사 선비문화 광주향교
85,역사,실외,선비문화,광주광역시 서구 동하길 10,만귀정,4.3,65,역사 선비문화 만귀정
86,역사,실외,선비문화,광주광역시 북구 송강로 13,충장사,4,103,역사 선비문화 충장사
87,역사,실외,선비문화,광주광역시 서구 화운로156번길 17-8,화담사,3.9,17,역사 선비문화 화담사
88,역사,실외,문화유산,광주 남구 서오층석탑2길 17,광주 성거사지 오층석탑,0,0,역사 문화유산 광주 성거사지 오층석탑
89,역사,실외,문화유산,광주 동구 지산로 57,광주 지산동 오층석탑,3.8,4,역사 문화유산 광주 지산동 오층석탑
90,역사,실외,문화유산,광주 동구 용연길,무등산 주상절리대,4.5,88,역사 문화유산 무등산 주상절리대
91,역사,실외,문화유산,광주 북구 가사문학로 954-38,충효동 왕버들군,4.5,8,역사 문화유산 충효동 왕버들군
92,축제/체험,실내,체험,광주 북구 비엔날레로 111,광주디자인비엔날레,4.2,21,축제/체험 체험 광주디자인비엔날레
93,축제/체험,실내,체험,광주 남구 천변좌로 338번길 7,광주 미디어아트 플랫폼,4,19,축제/체험 체험 광주 미디어아트 플랫폼
94,축제/체험,실내,체험,광주 남구 양과동 1237-5,빛고을농촌테마공원,4.6,92,축제/체험 체험 빛고을농촌테마공원
95,축제/체험,실내,체험,광주광역시 광산구 평동로 639-22,광주광역시 농업기술센터,4.6,50,축제/체험 체험 광주광역시 농업기술센터
96,축제/체험,실내,체험,광주 광산구 서봉동 37,IT스퀘어,0,0,축제/체험 체험 IT스퀘어
97,축제/체험,실내,체험,광주 북구 첨단과기로176번길 27,광주 디자인 체험관,3.8,83,축제/체험 체험 광주 디자인 체험관
98,축제/체험,실내,체험,광주 남구 압촌길 78,광주 콩종합센터,0,0,축제/체험 체험 광주 콩종합센터
99,축제/체험,실내,체험,광주 북구 첨단과기로 235,국립광주과학관,4.4,1644,축제/체험 체험 국립광주과학관
100,축제/체험,실내,체험,광주 북구 설죽로 477,남도향토음식박물관,4.1,70,축제/체험 체험 남도향토음식박물관
101,축제/체험,실내,체험,광주 동구 동명로 24,다과만들기 다담,0,0,축제/체험 체험 다과만들기 다담
102,축제/체험,실내,체험,광주 서구 회재로 905,시청자미디어센터,4.3,19,축제/체험 체험 시청자미디어센터
103,축제/체험,실내,체험,광주 남구 승촌보길 90,영산강 문화관,4.1,549,축제/체험 체험 영산강 문화관
104,관광,실외,공원,광주광역시 동구 지호로164번길 35-1,지산유원지,3.9,826,관광 공원 지산유원지
105,관광,실외,공원,광주 광산구 송산동 175-1,송산유원지,4,577,관광 공원 송산유원지
106,관광,실외,공원,광주 북구 우치로 677,우치공원,4.2,274,관광 공원 우치공원
107,먹거리,실내,맛집,광주 광산구 신창로166번길 24,금수저은수저,3.5,360,먹거리 맛집 금수저은수저
108,먹거리,실내,맛집,광주 동구 지호로 137- 7,남가정,4.2,144,먹거리 맛집 남가정
109,먹거리,실내,맛집,광주 북구 대촌길6번길 20-6,넓으실,3.8,359,먹거리 맛집 넓으실
110,먹거리,실내,맛집,광주 서구 풍암순환로128번길 73,다미정,3.9,291,먹거리 맛집 다미정
111,먹거리,실내,맛집,광주 서구 유덕로28번길 18,백년미가,3.6,156,먹거리 맛집 백년미가
112,먹거리,실내,맛집,광주 동구 무등로321번길 2,아리랑하우스,4,106,먹거리 맛집 아리랑하우스
113,먹거리,실내,맛집,광주 서구 풍암순환로128번길 75,영빈관,3.4,143,먹거리 맛집 영빈관
114,먹거리,실내,맛집,광주 서구 서광주로 187,예지원,3.8,137,먹거리 맛집 예지원
115,먹거리,실내,맛집,광주 서구 상무평화로 131,예향계절한정식,3.7,60,먹거리 맛집 예향계절한정식
116,먹거리,실내,맛집,광주 남구 효덕로 103,조선옥,3.5,136,먹거리 맛집 조선옥
117,먹거리,실내,맛집,광주 북구 일곡택지로53번길 55,현주네이야기,4,1,먹거리 맛집 현주네이야기
118,먹거리,실내,맛집,광주 서구 치평로 86,"다르다김밥,주먹밥",4.3,30,"먹거리 맛집 다르다김밥,주먹밥"
119,먹거리,실내,맛집,광주 동구 동계천로 143,맘스쿡,4.6,10,먹거리 맛집 맘스쿡
120,먹거리,실내,맛집,광주 서구 군분로159번길 13,테스팅노트,4.9,11,먹거리 맛집 테스팅노트
121,먹거리,실내,맛집,광주 북구 양산로 34,양산대박 상추튀김,4.3,15,먹거리 맛집 양산대박 상추튀김
122,먹거리,실내,맛집,광주 동구 황금동 74,은성김밥,2.7,6,먹거리 맛집 은성김밥
123,먹거리,실내,맛집,광주 서구 상무평화로 89,현완단겸 상추튀김,3.3,266,먹거리 맛집 현완단겸 상추튀김
124,먹거리,실내,맛집,광주 서구 상무대로 695번길 15,대광식당,4.1,64,먹거리 맛집 대광식당
125,먹거리,실내,맛집,광주 서구 상무자유로 174,육전명가,3.7,165,먹거리 맛집 육전명가
126,먹거리,실내,맛집,광주 서구 상무민주로123번길 13-7,김가원,4.6,15,먹거리 맛집 김가원
127,먹거리,실내,맛집,광주 서구 회재유통길 19-24,매월흑염소가든,4.1,605,먹거리 맛집 매월흑염소가든
128,먹거리,실내,맛집,광주 광산구 평동로 421,명화식육식당,4,1256,먹거리 맛집 명화식육식당
129,먹거리,실내,맛집,광주 북구 일곡마을로 152,미진,3.5,41,먹거리 맛집 미진
130,먹거리,실내,맛집,광주 서구 상무평화로 137,민들레,4.2,55,먹거리 맛집 민들레
131,먹거리,실내,맛집,광주 광산구 송정로8번길 41,서울장수국수,3.9,43,먹거리 맛집 서울장수국수
132,먹거리,실내,맛집,광주 동구 문화전당로35번길 28-5,송하회관,4.2,116,먹거리 맛집 송하회관
133,먹거리,실내,맛집,광주 북구 무등로 144,옥천면옥,3.9,508,먹거리 맛집 옥천면옥
134,먹거리,실내,맛집,광주 남구 봉선로 21,해남성내식당,4.2,99,먹거리 맛집 해남성내식당
135,먹거리,실내,맛집,광주 동구 백서로125번길 29,해남식당,4.1,86,먹거리 맛집 해남식당
136,먹거리,실내,맛집,광주 북구 무등로180번길 9-18,"홍춘이	",4.2,9,"먹거리 맛집 홍춘이	"
137,먹거리,실내,맛집,광주 북구동운로 231,효정,4.2,114,먹거리 맛집 효정
138,먹거리,실내,맛집,광주 광산구 왕버들로252번길 33,100족발본점,4.8,187,먹거리 맛집 100족발본점
139,먹거리,실내,맛집,광주 북구 우치로 61,강의리추어탕,4,79,먹거리 맛집 강의리추어탕
140,먹거리,실내,맛집,광주 서구 마륵복개로 152-3,강촌,4.1,161,먹거리 맛집 강촌
141,먹거리,실내,맛집,광주 동구 의재로96번길 18,관가,3.6,160,먹거리 맛집 관가
142,먹거리,실내,맛집,광주 광산구 임방울대로 503,광후장어,0,0,먹거리 맛집 광후장어
143,먹거리,실내,맛집,광주 북구 서강로74번길 32,국현옥궁중팥죽,0,0,먹거리 맛집 국현옥궁중팥죽
144,먹거리,실내,맛집,광주 동구 금남로 193-7,꽃담,4.3,7,먹거리 맛집 꽃담
145,먹거리,실내,맛집,광주 남구 화산로 105,뜨락쌈밥,4.1,350,먹거리 맛집 뜨락쌈밥
146,먹거리,실내,맛집,광주 북구 대천로139번길 8-1,석암돌솥밥,4,335,먹거리 맛집 석암돌솥밥
147,먹거리,실내,맛집,광주 북구 북문대로 173,약수한방삼계탕,4.1,142,먹거리 맛집 약수한방삼계탕
148,먹거리,실내,맛집,광주 북구 밤실로 178,오얏리돌솥밥,4.2,532,먹거리 맛집 오얏리돌솥밥
149,먹거리,실내,맛집,광주 서구 운천로31번길 15,유진정,4.2,195,먹거리 맛집 유진정
150,먹거리,실내,맛집,광주 광산구 삼도가산안길 42,하림가,4.3,30,먹거리 맛집 하림가
151,먹거리,실내,맛집,광주 북구 민주로 164,한백년식당,4,16,먹거리 맛집 한백년식당
152,먹거리,실내,맛집,광주 서구 상무민주로6번길 36,낙지마을,3.8,163,먹거리 맛집 낙지마을
153,먹거리,실내,맛집,광주 서구 월드컵4강로 236,마천루,4,690,먹거리 맛집 마천루
154,먹거리,실내,맛집,광주 동구 문화전당로 37-2,마한지,4.1,532,먹거리 맛집 마한지
155,먹거리,실내,맛집,광주 광산구 송정로15번길 71,서울곱창,3.9,655,먹거리 맛집 서울곱창
156,먹거리,실내,맛집,광주 서구 금화로 240,여간 좋은날,0,0,먹거리 맛집 여간 좋은날
157,먹거리,실내,맛집,광주 서구 내방로 39-1,옥과한우촌,4,537,먹거리 맛집 옥과한우촌
158,먹거리,실내,맛집,광주 북구 북문대로33번길 3,우미일식,3.6,62,먹거리 맛집 우미일식
159,먹거리,실내,맛집,광주 서구 풍암운리로41번길 4-6,이씨네푸줏간,4.4,54,먹거리 맛집 이씨네푸줏간
160,먹거리,실내,맛집,광주 광산구 동곡로35번길 6,이태백,4,45,먹거리 맛집 이태백
161,먹거리,실내,맛집,광주 북구 하서로672번길 45,절기밥상,4,131,먹거리 맛집 절기밥상
162,먹거리,실내,맛집,광주 동구 제봉로 194,칠우불고기,4.2,333,먹거리 맛집 칠우불고기
163,먹거리,실내,맛집,광주 남구 효덕로 150,한우사랑,3.7,9,먹거리 맛집 한우사랑
164,먹거리,실내,맛집,광주 서구 상무대로 653-1,해동활어,4.1,287,먹거리 맛집 해동활어
165,먹거리,실내,맛집,광주 북구 일곡마을로 165,행랑채,3.5,189,먹거리 맛집 행랑채
166,먹거리,실내,맛집,광주 서구 운천로17번길 4-9,긴자상회,4.5,39,먹거리 맛집 긴자상회
167,먹거리,실내,맛집,광주 서구 상무대로 1032,더셰프,4.1,64,먹거리 맛집 더셰프
168,먹거리,실내,맛집,광주 동구 동명로20번길 17-6,알랭,4.3,90,먹거리 맛집 알랭
169,먹거리,실내,맛집,광주 광산구 임방울대로 353,어나더키친,4.1,164,먹거리 맛집 어나더키친
170,먹거리,실내,맛집,광주 서구 치평로 112,오카츠,4.5,50,먹거리 맛집 오카츠
171,먹거리,실내,맛집,광주 북구 용봉로 66,케이투,4.2,92,먹거리 맛집 케이투
172,먹거리,실내,맛집,광주 남구 백서로 97-1,파인트리,4.2,17,먹거리 맛집 파인트리
173,먹거리,실외,시장,광주광역시 북구 우산동 190-1,말바우시장,4.1,1714,먹거리 시장 말바우시장
174,먹거리,실외,시장,광주광역시 동구 학동 55,남광주시장,3.9,1485,먹거리 시장 남광주시장
175,먹거리,실외,시장,광주광역시 동구 대인동 제봉로194번길,대인시장,3.9,1107,먹거리 시장 대인시장
176,먹거리,실외,시장,광주 서구 천변좌로 238,양동시장,4.2,508,먹거리 시장 양동시장
177,먹거리,실외,시장,광주광역시 광산구 송정동 송정로16번길 38,1913 송정역시장,3.9,3994,먹거리 시장 1913 송정역시장
178,먹거리,실외,시장,광주광역시 광산구 비아동 비아중앙로 26-1,비아시장,3.9,440,먹거리 시장 비아시장
179,먹거리,실외,시장,광주 남구 군분로 27,무등시장,3.8,568,먹거리 시장 무등시장
180,관광,실외,스포츠,광주 북구 서림로 10 무등종합경기장,기아챔피언스필드,4.3,44,관광 스포츠 기아챔피언스필드
181,관광,실내,스포츠,광주광역시 서구 금화로 278,염주체육관,4.3,278,관광 스포츠 염주체육관
182,관광,실외,스포츠,광주광역시 서구 금화로 240 월드컵경기장,광주월드컵경기장,4.3,597,관광 스포츠 광주월드컵경기장
183,관광,실내,스포츠,광주 서구 금화로 278,광주 실내빙상장,4.2,286,관광 스포츠 광주 실내빙상장
184,관광,실외,공원,광주 광산구 첨단중앙로182번길 39,쌍암공원,4.5,1119,관광 공원 쌍암공원
185,관광,실외,공원,광주광역시 북구 임방울대로 877 어린이교통공원,광주 어린이교통공원,4.2,145,관광 공원 광주 어린이교통공원
186,관광,실외,공원,광주광역시 북구 추암로 190,광주 시민의숲,4.2,344,관광 공원 광주 시민의숲
187,관광,실외,공원,광주광역시 광산구 장신로82번길 57,수완호수공원,4.1,418,관광 공원 수완호수공원
188,관광,실외,공원,광주광역시 북구 양산동 288-3,양산호수공원,4.5,412,관광 공원 양산호수공원
189,관광,실외,공원,광주광역시 서구 풍암동 460,풍암호수공원,4.4,1734,관광 공원 풍암호수공원
190,관광,실외,공원,광주광역시 서구 쌍촌동 869-9,운천저수지,4.2,1511,관광 공원 운천저수지
191,관광,실외,공원,광주 북구 하서로 52,중외공원,4.5,640,관광 공원 중외공원
192,관광,실외,공원,광주 북구 금곡동 산 1-3,무등산 국립공원,4.5,1076,관광 공원 무등산 국립공원
193,관광,실외,공원,광주 동구 필문대로 309,조선대학교 장미공원,4,1,관광 공원 조선대학교 장미공원
194,관광,실외,공원,광주 남구 효우로 107,물빛근린공원,4.4,296,관광 공원 물빛근린공원
195,관광,실외,공원,광주 동구 대의동 50-26,ACC 하늘마당,4.5,505,관광 공원 ACC 하늘마당
196,관광,실외,공원,광주 서구 회재로 1111,풍암생활체육공원,4.4,516,관광 공원 풍암생활체육공원
197,관광,실외,마을,광주 남구 천변좌로446번길 7,펭귄마을,3.9,947,관광 마을 펭귄마을
198,관광,실외,공원,광주 남구 양림동 108-10,사직공원,4.3,750,관광 공원 사직공원
199,관광,실외,마을,광주 남구 서서평길 7,역사문화마을,4.4,5,관광 마을 역사문화마을
200,관광,실외,마을,광주 서구 천변좌로108번길 17-13,청춘발산마을,3.7,315,관광 마을 청춘발산마을
201,관광,실외,마을,광주 서구 눌재로 420,서창향토마을,3.9,39,관광 마을 서창향토마을
202,관광,실외,공원,광주 북구 문흥동 803-1,맥문동숲길,4.5,138,관광 공원 맥문동숲길
